BudgetBookVersion	Ministry	HeadNumber	HeadName	BudgetYear	DataVersion	DataValue
2024	MINISTRY OF FINANCE	12	CUSTOMS	2023	ORIGINAL	231855
2024	MINISTRY OF FINANCE	12	CUSTOMS	2023	REVISED	231757
2024	MINISTRY OF FINANCE	12	CUSTOMS	2024	ESTIMATE	238676
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2022	ACTUAL	679065
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2023	ORIGINAL	726659
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2023	REVISED	729952
2024	MINISTRY OF FINANCE	38	OFFICE OF THE TAX COMMISSIONER	2024	ESTIMATE	792609
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2022	ACTUAL	66920
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2023	ORIGINAL	76648
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2023	REVISED	76074
2024	MINISTRY OF FINANCE	39	REGISTRAR OF COMPANIES	2024	ESTIMATE	76508
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2022	ACTUAL	96
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2023	ORIGINAL	248
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2023	REVISED	248
2024	MINISTRY OF EDUCATION	17	DEPT. OF EDUCATION	2024	ESTIMATE	248
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2022	ACTUAL	7
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2023	ORIGINAL	10
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2023	REVISED	7
2024	MINISTRY OF EDUCATION	18	LIBRARIES & ARCHIVES	2024	ESTIMATE	14
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2022	ACTUAL	23850
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2023	ORIGINAL	55
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2023	REVISED	24
2024	MINISTRY OF HEALTH	21	MIN. OF HEALTH HQ	2024	ESTIMATE	72
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2022	ACTUAL	3750
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2023	ORIGINAL	3606
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2023	REVISED	3326
2024	MINISTRY OF HEALTH	22	DEPT. OF HEALTH	2024	ESTIMATE	3633
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2022	ACTUAL	11
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2023	ORIGINAL	0
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2023	REVISED	0
2024	MINISTRY OF ECONOMY & LABOUR	44	MIN. OF ECONOMY & LABOUR HQ	2024	ESTIMATE	0
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2022	ACTUAL	18542
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2023	ORIGINAL	19784
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2023	REVISED	18888
2024	MINISTRY OF ECONOMY & LABOUR	27	IMMIGRATION	2024	ESTIMATE	21650
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2022	ACTUAL	4
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2023	ORIGINAL	0
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2023	REVISED	0
2024	MINISTRY OF ECONOMY & LABOUR	60	WORKFORCE DEVELOPMENT	2024	ESTIMATE	8
2024	MINISTRY OF ECONOMY & LABOUR	94	ECONOMIC DEVELOPMENT	2022	ACTUAL	6847
2024	MINISTRY OF ECONOMY & LABOUR	94	ECONOMIC DEVELOPMENT	2023	ORIGINAL	6800
2024	MINISTRY OF ECONOMY & LABOUR	94	ECONOMIC DEVELOPMENT	2023	REVISED	5500
2024	MINISTRY OF ECONOMY & LABOUR	94	ECONOMIC DEVELOPMENT	2024	ESTIMATE	5800
2024	MINISTRY OF TRANSPORT	48	MIN. OF TRANSPORT HQ	2022	ACTUAL	1265
2024	MINISTRY OF TRANSPORT	48	MIN. OF TRANSPORT HQ	2023	ORIGINAL	0
2024	MINISTRY OF TRANSPORT	48	MIN. OF TRANSPORT HQ	2023	REVISED	0
2024	MINISTRY OF TRANSPORT	48	MIN. OF TRANSPORT HQ	2024	ESTIMATE	0
2024	MINISTRY OF TRANSPORT	30	MARINE AND PORTS	2022	ACTUAL	5563
2024	MINISTRY OF TRANSPORT	30	MARINE AND PORTS	2023	ORIGINAL	6052
2024	MINISTRY OF TRANSPORT	30	MARINE AND PORTS	2023	REVISED	6197
2024	MINISTRY OF TRANSPORT	30	MARINE AND PORTS	2024	ESTIMATE	6314
2024	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPARTMENT	2022	ACTUAL	30134
2024	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPARTMENT	2023	ORIGINAL	29994
2024	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPARTMENT	2023	REVISED	31534
2024	MINISTRY OF TRANSPORT	34	TRANSPORT CONTROL DEPARTMENT	2024	ESTIMATE	31534
2024	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION	2022	ACTUAL	3759
2024	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION	2023	ORIGINAL	3322
2024	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION	2023	REVISED	4137
2024	MINISTRY OF TRANSPORT	35	PUBLIC TRANSPORTATION	2024	ESTIMATE	4200
2024	MINISTRY OF PUBLIC WORKS	36	MIN. OF PUBLIC WORKS HQ	2022	ACTUAL	38
2024	MINISTRY OF PUBLIC WORKS	36	MIN. OF PUBLIC WORKS HQ	2023	ORIGINAL	16
2024	MINISTRY OF PUBLIC WORKS	36	MIN. OF PUBLIC WORKS HQ	2023	REVISED	16
2024	MINISTRY OF PUBLIC WORKS	36	MIN. OF PUBLIC WORKS HQ	2024	ESTIMATE	16
2024	MINISTRY OF PUBLIC WORKS	68	PARKS	2022	ACTUAL	147
2024	MINISTRY OF PUBLIC WORKS	68	PARKS	2023	ORIGINAL	142
2024	MINISTRY OF PUBLIC WORKS	68	PARKS	2023	REVISED	227
2024	MINISTRY OF PUBLIC WORKS	68	PARKS	2024	ESTIMATE	227
2024	MINISTRY OF PUBLIC WORKS	81	PUBLIC LANDS & BUILDINGS	2022	ACTUAL	2460
2024	MINISTRY OF PUBLIC WORKS	81	PUBLIC LANDS & BUILDINGS	2023	ORIGINAL	2423
2024	MINISTRY OF PUBLIC WORKS	81	PUBLIC LANDS & BUILDINGS	2023	REVISED	3243
2024	MINISTRY OF PUBLIC WORKS	81	PUBLIC LANDS & BUILDINGS	2024	ESTIMATE	3243
2024	MINISTRY OF PUBLIC WORKS	82	WORKS & ENGINEERING	2022	ACTUAL	9912
2024	MINISTRY OF PUBLIC WORKS	82	WORKS & ENGINEERING	2023	ORIGINAL	11918
2024	MINISTRY OF PUBLIC WORKS	82	WORKS & ENGINEERING	2023	REVISED	10857
2024	MINISTRY OF PUBLIC WORKS	82	WORKS & ENGINEERING	2024	ESTIMATE	11425
2024	MINISTRY OF TOURISM, CULTURE & SPORT	71	MIN. TOURISM, CULTURE & SP	2022	ACTUAL	0
2024	MINISTRY OF TOURISM, CULTURE & SPORT	71	MIN. TOURISM, CULTURE & SP	2023	ORIGINAL	0
2024	MINISTRY OF TOURISM, CULTURE & SPORT	71	MIN. TOURISM, CULTURE & SP	2023	REVISED	0
2024	MINISTRY OF TOURISM, CULTURE & SPORT	71	MIN. TOURISM, CULTURE & SP	2024	ESTIMATE	438
2024	MINISTRY OF TOURISM, CULTURE & SPORT	20	SPORT & RECREATION	2022	ACTUAL	615
2024	MINISTRY OF TOURISM, CULTURE & SPORT	20	SPORT & RECREATION	2023	ORIGINAL	750
2024	MINISTRY OF TOURISM, CULTURE & SPORT	20	SPORT & RECREATION	2023	REVISED	631
2024	MINISTRY OF TOURISM, CULTURE & SPORT	20	SPORT & RECREATION	2024	ESTIMATE	203
2024	MINISTRY OF TOURISM, CULTURE & SPORT	52	DEPARTMENT OF CULTURE	2022	ACTUAL	0
2024	MINISTRY OF TOURISM, CULTURE & SPORT	52	DEPARTMENT OF CULTURE	2023	ORIGINAL	1
2024	MINISTRY OF TOURISM, CULTURE & SPORT	52	DEPARTMENT OF CULTURE	2023	REVISED	1
2024	MINISTRY OF TOURISM, CULTURE & SPORT	52	DEPARTMENT OF CULTURE	2024	ESTIMATE	0
2024	MINISTRY OF NATIONAL SECURITY	83	MIN OF NATIONAL SECURITY HQ	2022	ACTUAL	505
2024	MINISTRY OF NATIONAL SECURITY	83	MIN OF NATIONAL SECURITY HQ	2023	ORIGINAL	450
2024	MINISTRY OF NATIONAL SECURITY	83	MIN OF NATIONAL SECURITY HQ	2023	REVISED	700
2024	MINISTRY OF NATIONAL SECURITY	83	MIN OF NATIONAL SECURITY HQ	2024	ESTIMATE	913
2024	MINISTRY OF NATIONAL SECURITY	07	POLICE	2022	ACTUAL	710
2024	MINISTRY OF NATIONAL SECURITY	07	POLICE	2023	ORIGINAL	698
2024	MINISTRY OF NATIONAL SECURITY	07	POLICE	2023	REVISED	698
2024	MINISTRY OF NATIONAL SECURITY	07	POLICE	2024	ESTIMATE	698
2024	MINISTRY OF NATIONAL SECURITY	25	DEPT. OF CORRECTIONS	2022	ACTUAL	1
