BudgetBookVersion	AnalysisGroup	HeadNumber	RevenueDescription	BudgetYear	DataVersion	DataValue
2024/25	FEES, PERMITS & LICENSES	12	OTHER CUSTOMS FEES & CHARGES	2023/24	REVISED	2255
2024/25	FEES, PERMITS & LICENSES	12	OTHER CUSTOMS FEES & CHARGES	2024/25	ESTIMATE	2320
2024/25	FEES, PERMITS & LICENSES	12	WHARFAGE	2022/23	ACTUAL	921
2024/25	FEES, PERMITS & LICENSES	12	WHARFAGE	2023/24	ORIGINAL	874
2024/25	FEES, PERMITS & LICENSES	12	WHARFAGE	2023/24	REVISED	924
2024/25	FEES, PERMITS & LICENSES	12	WHARFAGE	2024/25	ESTIMATE	951
2024/25	FEES, PERMITS & LICENSES	13	POST OFFICE	2022/23	ACTUAL	2414
2024/25	FEES, PERMITS & LICENSES	13	POST OFFICE	2023/24	ORIGINAL	3263
2024/25	FEES, PERMITS & LICENSES	13	POST OFFICE	2023/24	REVISED	2733
2024/25	FEES, PERMITS & LICENSES	13	POST OFFICE	2024/25	ESTIMATE	2914
2024/25	FEES, PERMITS & LICENSES	27	IMMIGRATION RECEIPTS	2022/23	ACTUAL	18532
2024/25	FEES, PERMITS & LICENSES	27	IMMIGRATION RECEIPTS	2023/24	ORIGINAL	19766
2024/25	FEES, PERMITS & LICENSES	27	IMMIGRATION RECEIPTS	2023/24	REVISED	18870
2024/25	FEES, PERMITS & LICENSES	27	IMMIGRATION RECEIPTS	2024/25	ESTIMATE	21631
2024/25	FEES, PERMITS & LICENSES	29	TRADE & SERVICE MARK	2022/23	ACTUAL	2003
2024/25	FEES, PERMITS & LICENSES	29	TRADE & SERVICE MARK	2023/24	ORIGINAL	1580
2024/25	FEES, PERMITS & LICENSES	29	TRADE & SERVICE MARK	2023/24	REVISED	1756
2024/25	FEES, PERMITS & LICENSES	29	TRADE & SERVICE MARK	2024/25	ESTIMATE	1762
2024/25	FEES, PERMITS & LICENSES	30	FERRY SERVICES	2022/23	ACTUAL	523
2024/25	FEES, PERMITS & LICENSES	30	FERRY SERVICES	2023/24	ORIGINAL	1098
2024/25	FEES, PERMITS & LICENSES	30	FERRY SERVICES	2023/24	REVISED	705
2024/25	FEES, PERMITS & LICENSES	30	FERRY SERVICES	2024/25	ESTIMATE	848
2024/25	FEES, PERMITS & LICENSES	30	SERVICES TO SEABORNE SHIPPING	2022/23	ACTUAL	3581
2024/25	FEES, PERMITS & LICENSES	30	SERVICES TO SEABORNE SHIPPING	2023/24	ORIGINAL	3599
2024/25	FEES, PERMITS & LICENSES	30	SERVICES TO SEABORNE SHIPPING	2023/24	REVISED	4078
2024/25	FEES, PERMITS & LICENSES	30	SERVICES TO SEABORNE SHIPPING	2024/25	ESTIMATE	4084
2024/25	FEES, PERMITS & LICENSES	32	PLANNING FEES AND SEARCHES	2022/23	ACTUAL	1555
2024/25	FEES, PERMITS & LICENSES	32	PLANNING FEES AND SEARCHES	2023/24	ORIGINAL	1255
2024/25	FEES, PERMITS & LICENSES	32	PLANNING FEES AND SEARCHES	2023/24	REVISED	1494
2024/25	FEES, PERMITS & LICENSES	32	PLANNING FEES AND SEARCHES	2024/25	ESTIMATE	1430
2024/25	FEES, PERMITS & LICENSES	34	VEHICLE LICENCES AND REGISTRATION	2022/23	ACTUAL	30142
2024/25	FEES, PERMITS & LICENSES	34	VEHICLE LICENCES AND REGISTRATION	2023/24	ORIGINAL	30000
2024/25	FEES, PERMITS & LICENSES	34	VEHICLE LICENCES AND REGISTRATION	2023/24	REVISED	31535
2024/25	FEES, PERMITS & LICENSES	34	VEHICLE LICENCES AND REGISTRATION	2024/25	ESTIMATE	31540
2024/25	FEES, PERMITS & LICENSES	35	BUS REVENUES	2022/23	ACTUAL	3747
2024/25	FEES, PERMITS & LICENSES	35	BUS REVENUES	2023/24	ORIGINAL	3307
2024/25	FEES, PERMITS & LICENSES	35	BUS REVENUES	2023/24	REVISED	4117
2024/25	FEES, PERMITS & LICENSES	35	BUS REVENUES	2024/25	ESTIMATE	4179
2024/25	FEES, PERMITS & LICENSES	36	SOLID WASTE	2022/23	ACTUAL	4346
2024/25	FEES, PERMITS & LICENSES	36	SOLID WASTE	2023/24	ORIGINAL	4867
2024/25	FEES, PERMITS & LICENSES	36	SOLID WASTE	2023/24	REVISED	5217
2024/25	FEES, PERMITS & LICENSES	36	SOLID WASTE	2024/25	ESTIMATE	4865
2024/25	FEES, PERMITS & LICENSES	36	WATER	2022/23	ACTUAL	2801
2024/25	FEES, PERMITS & LICENSES	36	WATER	2023/24	ORIGINAL	4436
2024/25	FEES, PERMITS & LICENSES	36	WATER	2023/24	REVISED	3846
2024/25	FEES, PERMITS & LICENSES	36	WATER	2024/25	ESTIMATE	4000
2024/25	FEES, PERMITS & LICENSES	36	RENTALS	2022/23	ACTUAL	2714
2024/25	FEES, PERMITS & LICENSES	36	RENTALS	2023/24	ORIGINAL	2765
2024/25	FEES, PERMITS & LICENSES	36	RENTALS	2023/24	REVISED	3592
2024/25	FEES, PERMITS & LICENSES	36	RENTALS	2024/25	ESTIMATE	3596
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES - INTERNATIONAL	2022/23	ACTUAL	61882
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES - INTERNATIONAL	2023/24	ORIGINAL	71639
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES - INTERNATIONAL	2023/24	REVISED	71639
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES - INTERNATIONAL	2024/25	ESTIMATE	71700
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES LOCAL	2022/23	ACTUAL	2951
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES LOCAL	2023/24	ORIGINAL	3300
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES LOCAL	2023/24	REVISED	3300
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES LOCAL	2024/25	ESTIMATE	3317
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES LICENSES	2022/23	ACTUAL	898
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES LICENSES	2023/24	ORIGINAL	1460
2024/25	FEES, PERMITS & LICENSES	39	COMPANIES LICENSES	2023/24	REVISED	831
